Index,Make,Length,Year,Price
194,Beneteau,40,2004,154900
195,Beneteau,40,2000,120000
196,Beneteau,40,1999,175000
197,Beneteau,40,1997,70000
198,Beneteau,40,1996,175000
199,Beneteau,40,1995,127500
200,Beneteau,40,1994,82900
201,Beneteau,40,1993,57500
202,Beneteau,40,1992,60000
203,Beneteau,40,1991,67500
